t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,11,7.377345,7,1.156025,7.000000,7.000000,11.000000,11.000000,11.000000,11.000000
1595291531,100,24,10.715869,9,2.844161,9.000000,14.000000,14.000000,19.000000,24.000000,24.000000
1595292129,100,32,15.675068,7,4.219519,13.000000,19.000000,19.000000,26.000000,26.000000,32.000000
1595294123,100,39,23.006675,19,5.464940,19.000000,29.000000,29.000000,39.000000,39.000000,39.000000
1595354294,100,6,6.000000,6,0.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000
1595354403,100,9,6.471780,3,1.205920,6.000000,6.000000,9.000000,9.000000,9.000000,9.000000
1595354585,100,6,6.000000,6,0.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000
1595354769,100,15,8.085260,4,1.996295,7.000000,11.000000,11.000000,15.000000,15.000000,15.000000
1595355081,100,24,11.108650,9,2.973927,9.000000,14.000000,14.000000,19.000000,19.000000,24.000000
1595355851,100,26,15.112428,12,3.844814,12.000000,19.000000,19.000000,26.000000,26.000000,26.000000
1595356657,100,59,23.702337,19,6.470350,20.000000,29.000000,30.000000,39.000000,59.000000,59.000000
