t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595290117,100,1.970257,1.576758,1.647768,1.620018,events/second
1595291531,100,0.994451,4.105793,14.571471,17.996490,events/second
1595292129,100,0.560920,1.176329,11.348273,16.557570,events/second
1595294123,100,0.324440,0.116302,6.272499,12.193008,events/second
1595354294,100,3.452477,14.330626,18.710140,19.560457,events/second
1595354403,100,6.098141,16.929634,19.344322,19.779008,events/second
1595354585,100,5.239833,16.929634,19.344322,19.779008,events/second
1595354769,100,2.260293,11.160703,17.797635,19.237152,events/second
1595355081,100,1.015650,4.462603,14.816364,18.096748,events/second
1595355851,100,0.578710,1.278557,11.538996,16.649812,events/second
1595356657,100,0.322587,0.110149,5.910802,11.480468,events/second
