t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,15,8.434672,7,1.215086,8.000000,9.000000,11.000000,12.000000,12.000000,15.000000
1595291531,100,8539,124.914764,10,894.071263,12.000000,13.000000,17.000000,58.000000,8539.000000,8539.000000
1595292129,100,35,16.258042,13,2.751285,16.000000,16.000000,23.000000,24.000000,29.000000,35.000000
1595294123,100,36,22.977913,20,2.158072,22.000000,23.000000,28.000000,29.000000,30.000000,36.000000
1595354294,100,9819,188.326932,5,1235.300352,6.000000,6.000000,9.000000,6266.000000,9819.000000,9819.000000
1595354403,100,8,5.819776,4,0.791306,6.000000,6.000000,8.000000,8.000000,8.000000,8.000000
1595354585,100,10,6.100918,5,0.924670,6.000000,6.000000,8.000000,9.000000,10.000000,10.000000
1595354769,100,2093,29.149774,7,202.530406,9.000000,10.000000,16.000000,21.000000,26.000000,2093.000000
1595355081,100,22,11.659509,9,1.697374,11.000000,12.000000,14.000000,15.000000,16.000000,22.000000
1595355851,100,1897,44.740194,13,225.306802,17.000000,18.000000,24.000000,37.000000,1897.000000,1897.000000
1595356657,100,69,26.786414,23,5.882140,25.000000,27.000000,35.000000,42.000000,68.000000,69.000000
